,S_ticker,,,E_ticker,,,k_ticker
2938,CFFI,,2634,HTBX,,143,CARR
38,AXP,,29,MRK,,166,ODFL
138,AZO,,2319,LPTX,,246,JBHT
216,KEY,,2562,SLS,,326,CHRW
227,MTB,,1836,ALXO,,358,FLT
281,GPC,,1138,EBS,,522,KNX
345,BWA,,659,NVAX,,574,WEX
524,CFR,,2165,ALT,,583,XPO
604,GNTX,,2728,ARAV,,625,CASY
617,PB,,1831,ARCT,,777,SNDR
629,FFIN,,2834,APDN,,1054,WERN
630,QS,,2110,ZYME,,1080,HUBG
637,AXTA,,403,SGEN,,1087,FWRD
667,LSTR,,1813,MGNX,,1179,ARCB
674,VVV,,2866,KRBP,,1421,MRTN
675,SLM,,,,,1536,HTLD
705,NYCB,,,,,1674,PTSI
712,ALGM,,,,,1771,DSKE
767,HWC,,,,,2076,CVLG
789,SFBS,,,,,2129,FF
889,HOMB,,,,,2260,USAK
914,LTHM,,,,,2306,PANL
989,CVBF,,,,,2349,USX
1052,DORM,,,,,2693,EVOA
1069,COLB,,,,,2953,CHSCP
1083,VC,,,,,,
1236,RNST,,,,,,
1291,NWBI,,,,,,
1365,SHYF,,,,,,
1364,BUSE,,,,,,
1383,BHLB,,,,,,
1425,OFG,,,,,,
1435,SBSI,,,,,,
1592,KRNY,,,,,,
1603,WASH,,,,,,
1636,HFWA,,,,,,
1861,FMNB,,,,,,
1940,IDEX,,,,,,
1960,EBTC,,,,,,
2059,RRBI,,,,,,
2189,FBIZ,,,,,,
2205,BWFG,,,,,,
2341,MFIN,,,,,,
2350,PTRS,,,,,,
2398,SAL,,,,,,
2401,FUNC,,,,,,
2412,STRT,,,,,,
2442,CBFV,,,,,,
2572,NICK,,,,,,
2574,VBFC,,,,,,
2580,MGYR,,,,,,
2693,EVOA,,,,,,
2800,UFAB,,,,,,
