cik,cik_full,ticker,accn,form,fy,10k_path
1640147,0001640147,SNOW,0001640147-21-000073,10-K,2020,https://www.sec.gov/Archives/edgar/data/1640147/000164014721000073/0001640147-21-000073.txt
1001085,0001001085,BAM,0001640147-21-000073,10-K,2020,https://www.sec.gov/Archives/edgar/data/1001085/000164014721000073/0001640147-21-000073.txt
9631,0000009631,BNS,0001640147-21-000073,10-K,2020,https://www.sec.gov/Archives/edgar/data/9631/000164014721000073/0001640147-21-000073.txt
67088,0000067088,MUFG,0001640147-21-000073,10-K,2020,https://www.sec.gov/Archives/edgar/data/67088/000164014721000073/0001640147-21-000073.txt
16868,0000016868,CNI,0001640147-21-000073,10-K,2020,https://www.sec.gov/Archives/edgar/data/16868/000164014721000073/0001640147-21-000073.txt
1393818,0001393818,BX,0001193125-21-060361,10-K,2020,https://www.sec.gov/Archives/edgar/data/1393818/000119312521060361/0001193125-21-060361.txt
917851,0000917851,VALE,0001193125-21-060361,10-K,2020,https://www.sec.gov/Archives/edgar/data/917851/000119312521060361/0001193125-21-060361.txt
1123658,0001123658,SNP,0001193125-21-060361,10-K,2020,https://www.sec.gov/Archives/edgar/data/1123658/000119312521060361/0001193125-21-060361.txt
895728,0000895728,ENB,0000895728-22-000011,10-K,2021,https://www.sec.gov/Archives/edgar/data/895728/000089572822000011/0000895728-22-000011.txt
1650372,0001650372,TEAM,0000895728-22-000011,10-K,2021,https://www.sec.gov/Archives/edgar/data/1650372/000089572822000011/0000895728-22-000011.txt
30554,0000030554,CTA-PA,0000895728-22-000011,10-K,2021,https://www.sec.gov/Archives/edgar/data/30554/000089572822000011/0000895728-22-000011.txt
927971,0000927971,BMO,0000895728-22-000011,10-K,2021,https://www.sec.gov/Archives/edgar/data/927971/000089572822000011/0000895728-22-000011.txt
1737806,0001737806,PDD,0000895728-22-000011,10-K,2021,https://www.sec.gov/Archives/edgar/data/1737806/000089572822000011/0000895728-22-000011.txt
1703399,0001703399,SE,0000895728-22-000011,10-K,2021,https://www.sec.gov/Archives/edgar/data/1703399/000089572822000011/0000895728-22-000011.txt
1610520,0001610520,UBS,0000895728-22-000011,10-K,2021,https://www.sec.gov/Archives/edgar/data/1610520/000089572822000011/0000895728-22-000011.txt
1091587,0001091587,ABB,0000895728-22-000011,10-K,2021,https://www.sec.gov/Archives/edgar/data/1091587/000089572822000011/0000895728-22-000011.txt
1110646,0001110646,NTES,0000895728-22-000011,10-K,2021,https://www.sec.gov/Archives/edgar/data/1110646/000089572822000011/0000895728-22-000011.txt
1543151,0001543151,UBER,0001543151-21-000014,10-K,2020,https://www.sec.gov/Archives/edgar/data/1543151/000154315121000014/0001543151-21-000014.txt
16875,0000016875,CP,0000016875-21-000008,10-K,2020,https://www.sec.gov/Archives/edgar/data/16875/000001687521000008/0000016875-21-000008.txt
891478,0000891478,SAN,0000016875-21-000008,10-K,2020,https://www.sec.gov/Archives/edgar/data/891478/000001687521000008/0000016875-21-000008.txt
1564408,0001564408,SNAP,0001564590-22-003868,10-K,2021,https://www.sec.gov/Archives/edgar/data/1564408/000156459022003868/0001564590-22-003868.txt
1017413,0001017413,CNQ,0001564590-22-003868,10-K,2021,https://www.sec.gov/Archives/edgar/data/1017413/000156459022003868/0001564590-22-003868.txt
1129137,0001129137,AMX,0001564590-22-003868,10-K,2021,https://www.sec.gov/Archives/edgar/data/1129137/000156459022003868/0001564590-22-003868.txt
929869,0000929869,RELX,0001564590-22-003868,10-K,2021,https://www.sec.gov/Archives/edgar/data/929869/000156459022003868/0001564590-22-003868.txt
1327811,0001327811,WDAY,0001327811-21-000020,10-K,2020,https://www.sec.gov/Archives/edgar/data/1327811/000132781121000020/0001327811-21-000020.txt
1605484,0001605484,STLA,0001327811-21-000020,10-K,2020,https://www.sec.gov/Archives/edgar/data/1605484/000132781121000020/0001327811-21-000020.txt
1045520,0001045520,CM,0001327811-21-000020,10-K,2020,https://www.sec.gov/Archives/edgar/data/1045520/000132781121000020/0001327811-21-000020.txt
1835632,0001835632,MRVL,0001327811-21-000020,10-K,2020,https://www.sec.gov/Archives/edgar/data/1835632/000132781121000020/0001327811-21-000020.txt
1329099,0001329099,BIDU,0001327811-21-000020,10-K,2020,https://www.sec.gov/Archives/edgar/data/1329099/000132781121000020/0001327811-21-000020.txt
1099590,0001099590,MELI,0001562762-21-000079,10-K,2020,https://www.sec.gov/Archives/edgar/data/1099590/000156276221000079/0001562762-21-000079.txt
1874178,0001874178,RIVN,0001562762-21-000079,10-K,2020,https://www.sec.gov/Archives/edgar/data/1874178/000156276221000079/0001562762-21-000079.txt
1648416,0001648416,RACE,0001562762-21-000079,10-K,2020,https://www.sec.gov/Archives/edgar/data/1648416/000156276221000079/0001562762-21-000079.txt
1039765,0001039765,ING,0001562762-21-000079,10-K,2020,https://www.sec.gov/Archives/edgar/data/1039765/000156276221000079/0001562762-21-000079.txt
1002242,0001002242,E,0001562762-21-000079,10-K,2020,https://www.sec.gov/Archives/edgar/data/1002242/000156276221000079/0001562762-21-000079.txt
1418135,0001418135,KDP,0001418135-21-000005,10-K,2020,https://www.sec.gov/Archives/edgar/data/1418135/000141813521000005/0001418135-21-000005.txt
1004315,0001004315,NGG,0001418135-21-000005,10-K,2020,https://www.sec.gov/Archives/edgar/data/1004315/000141813521000005/0001418135-21-000005.txt
1061219,0001061219,EPD,0001061219-21-000009,10-K,2020,https://www.sec.gov/Archives/edgar/data/1061219/000106121921000009/0001061219-21-000009.txt
715153,0000715153,HMC,0001061219-21-000009,10-K,2020,https://www.sec.gov/Archives/edgar/data/715153/000106121921000009/0001061219-21-000009.txt
1124610,0001124610,VMW,0001124610-21-000015,10-K,2020,https://www.sec.gov/Archives/edgar/data/1124610/000112461021000015/0001124610-21-000015.txt
1512673,0001512673,SQ,0001512673-21-000008,10-K,2020,https://www.sec.gov/Archives/edgar/data/1512673/000151267321000008/0001512673-21-000008.txt
1327567,0001327567,PANW,0001327567-21-000029,10-K,2021,https://www.sec.gov/Archives/edgar/data/1327567/000132756721000029/0001327567-21-000029.txt
1022837,0001022837,SMFG,0001327567-21-000029,10-K,2021,https://www.sec.gov/Archives/edgar/data/1022837/000132756721000029/0001327567-21-000029.txt
1232384,0001232384,TRP,0001327567-21-000029,10-K,2021,https://www.sec.gov/Archives/edgar/data/1232384/000132756721000029/0001327567-21-000029.txt
1561550,0001561550,DDOG,0001564590-21-009770,10-K,2020,https://www.sec.gov/Archives/edgar/data/1561550/000156459021009770/0001564590-21-009770.txt
1001838,0001001838,SCCO,0001558370-21-001894,10-K,2020,https://www.sec.gov/Archives/edgar/data/1001838/000155837021001894/0001558370-21-001894.txt
1679788,0001679788,COIN,0001558370-21-001894,10-K,2020,https://www.sec.gov/Archives/edgar/data/1679788/000155837021001894/0001558370-21-001894.txt
839923,0000839923,VOD,0001558370-21-001894,10-K,2020,https://www.sec.gov/Archives/edgar/data/839923/000155837021001894/0001558370-21-001894.txt
1160106,0001160106,LYG,0001558370-21-001894,10-K,2020,https://www.sec.gov/Archives/edgar/data/1160106/000155837021001894/0001558370-21-001894.txt
1075124,0001075124,TRI,0001558370-21-001894,10-K,2020,https://www.sec.gov/Archives/edgar/data/1075124/000155837021001894/0001558370-21-001894.txt
1132597,0001132597,ITUB,0001558370-21-001894,10-K,2020,https://www.sec.gov/Archives/edgar/data/1132597/000155837021001894/0001558370-21-001894.txt
743988,0000743988,XLNX,0000743988-21-000016,10-K,2021,https://www.sec.gov/Archives/edgar/data/743988/000074398821000016/0000743988-21-000016.txt
718940,0000718940,BCE,0000743988-21-000016,10-K,2021,https://www.sec.gov/Archives/edgar/data/718940/000074398821000016/0000743988-21-000016.txt
1395064,0001395064,TAK,0000743988-21-000016,10-K,2021,https://www.sec.gov/Archives/edgar/data/1395064/000074398821000016/0000743988-21-000016.txt
1471055,0001471055,BSBR,0000743988-21-000016,10-K,2021,https://www.sec.gov/Archives/edgar/data/1471055/000074398821000016/0000743988-21-000016.txt
1565025,0001565025,ABEV,0000743988-21-000016,10-K,2021,https://www.sec.gov/Archives/edgar/data/1565025/000074398821000016/0000743988-21-000016.txt
1222333,0001222333,GLD,0001193125-21-340496,10-K,2021,https://www.sec.gov/Archives/edgar/data/1222333/000119312521340496/0001193125-21-340496.txt
1811210,0001811210,LCID,0001104659-21-036537,10-K,2020,https://www.sec.gov/Archives/edgar/data/1811210/000110465921036537/0001104659-21-036537.txt
1571996,0001571996,DELL,0001571996-21-000007,10-K,2020,https://www.sec.gov/Archives/edgar/data/1571996/000157199621000007/0001571996-21-000007.txt
312069,0000312069,BCS,0001571996-21-000007,10-K,2020,https://www.sec.gov/Archives/edgar/data/312069/000157199621000007/0001571996-21-000007.txt
1116578,0001116578,PUK,0001571996-21-000007,10-K,2020,https://www.sec.gov/Archives/edgar/data/1116578/000157199621000007/0001571996-21-000007.txt
311337,0000311337,SU,0001571996-21-000007,10-K,2020,https://www.sec.gov/Archives/edgar/data/311337/000157199621000007/0001571996-21-000007.txt
1585521,0001585521,ZM,0001585521-21-000048,10-K,2020,https://www.sec.gov/Archives/edgar/data/1585521/000158552121000048/0001585521-21-000048.txt
842180,0000842180,BBVA,0001585521-21-000048,10-K,2020,https://www.sec.gov/Archives/edgar/data/842180/000158552121000048/0001585521-21-000048.txt
1725964,0001725964,NTR,0001585521-21-000048,10-K,2020,https://www.sec.gov/Archives/edgar/data/1725964/000158552121000048/0001585521-21-000048.txt
1535527,0001535527,CRWD,0001535527-21-000007,10-K,2020,https://www.sec.gov/Archives/edgar/data/1535527/000153552721000007/0001535527-21-000007.txt
1086888,0001086888,MFC,0001535527-21-000007,10-K,2020,https://www.sec.gov/Archives/edgar/data/1086888/000153552721000007/0001535527-21-000007.txt
717826,0000717826,ERIC,0001535527-21-000007,10-K,2020,https://www.sec.gov/Archives/edgar/data/717826/000153552721000007/0001535527-21-000007.txt
1397187,0001397187,LULU,0001397187-21-000009,10-K,2020,https://www.sec.gov/Archives/edgar/data/1397187/000139718721000009/0001397187-21-000009.txt
1834584,0001834584,CPNG,0001397187-21-000009,10-K,2020,https://www.sec.gov/Archives/edgar/data/1834584/000139718721000009/0001397187-21-000009.txt
1315098,0001315098,RBLX,0001397187-21-000009,10-K,2020,https://www.sec.gov/Archives/edgar/data/1315098/000139718721000009/0001397187-21-000009.txt
932787,0000932787,STM,0001397187-21-000009,10-K,2020,https://www.sec.gov/Archives/edgar/data/932787/000139718721000009/0001397187-21-000009.txt
