cik,ticker,accn,form,fy,10k_path
320193,AAPL,0000320193-21-000105,10-K,2021,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/0000320193-21-000105.txt
789019,MSFT,0001564590-21-039151,10-K,2021,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151.txt
1652044,GOOGL,0001652044-22-000019,10-K,2021,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/0001652044-22-000019.txt
1018724,AMZN,0001018724-22-000005,10-K,2021,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/0001018724-22-000005.txt
1318605,TSLA,0000950170-22-000796,10-K,2021,https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/0000950170-22-000796.txt
1067983,BRK-B,0001564590-21-009611,10-K,2020,https://www.sec.gov/Archives/edgar/data/1067983/000156459021009611/0001564590-21-009611.txt
1326801,FB,0001326801-22-000018,10-K,2021,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000018/0001326801-22-000018.txt
1045810,NVDA,0001045810-21-000010,10-K,2020,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/0001045810-21-000010.txt
19617,JPM,0000019617-21-000236,10-K,2020,https://www.sec.gov/Archives/edgar/data/19617/000001961721000236/0000019617-21-000236.txt
731766,UNH,0000731766-22-000008,10-K,2021,https://www.sec.gov/Archives/edgar/data/731766/000073176622000008/0000731766-22-000008.txt
200406,JNJ,0000200406-21-000008,10-K,2020,https://www.sec.gov/Archives/edgar/data/200406/000020040621000008/0000200406-21-000008.txt
70858,BAC,0000070858-21-000023,10-K,2020,https://www.sec.gov/Archives/edgar/data/70858/000007085821000023/0000070858-21-000023.txt
80424,PG,0000080424-21-000100,10-K,2021,https://www.sec.gov/Archives/edgar/data/80424/000008042421000100/0000080424-21-000100.txt
104169,WMT,0000104169-21-000033,10-K,2020,https://www.sec.gov/Archives/edgar/data/104169/000010416921000033/0000104169-21-000033.txt
1141391,MA,0001141391-22-000023,10-K,2021,https://www.sec.gov/Archives/edgar/data/1141391/000114139122000023/0001141391-22-000023.txt
354950,HD,0000354950-21-000089,10-K,2020,https://www.sec.gov/Archives/edgar/data/354950/000035495021000089/0000354950-21-000089.txt
34088,XOM,0000034088-21-000012,10-K,2020,https://www.sec.gov/Archives/edgar/data/34088/000003408821000012/0000034088-21-000012.txt
78003,PFE,0000078003-21-000038,10-K,2020,https://www.sec.gov/Archives/edgar/data/78003/000007800321000038/0000078003-21-000038.txt
1744489,DIS,0001744489-21-000220,10-K,2021,https://www.sec.gov/Archives/edgar/data/1744489/000174448921000220/0001744489-21-000220.txt
93410,CVX,0000093410-21-000009,10-K,2020,https://www.sec.gov/Archives/edgar/data/93410/000009341021000009/0000093410-21-000009.txt
21344,KO,0000021344-21-000008,10-K,2020,https://www.sec.gov/Archives/edgar/data/21344/000002134421000008/0000021344-21-000008.txt
1551152,ABBV,0001551152-21-000008,10-K,2020,https://www.sec.gov/Archives/edgar/data/1551152/000155115221000008/0001551152-21-000008.txt
1730168,AVGO,0001730168-21-000153,10-K,2021,https://www.sec.gov/Archives/edgar/data/1730168/000173016821000153/0001730168-21-000153.txt
72971,WFC,0000072971-21-000197,10-K,2020,https://www.sec.gov/Archives/edgar/data/72971/000007297121000197/0000072971-21-000197.txt
77476,PEP,0000077476-22-000010,10-K,2021,https://www.sec.gov/Archives/edgar/data/77476/000007747622000010/0000077476-22-000010.txt
796343,ADBE,0000796343-22-000032,10-K,2021,https://www.sec.gov/Archives/edgar/data/796343/000079634322000032/0000796343-22-000032.txt
909832,COST,0000909832-21-000014,10-K,2021,https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/0000909832-21-000014.txt
59478,LLY,0000059478-21-000083,10-K,2020,https://www.sec.gov/Archives/edgar/data/59478/000005947821000083/0000059478-21-000083.txt
858877,CSCO,0000858877-21-000013,10-K,2021,https://www.sec.gov/Archives/edgar/data/858877/000085887721000013/0000858877-21-000013.txt
320187,NKE,0000320187-21-000028,10-K,2021,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/0000320187-21-000028.txt
732712,VZ,0000732712-22-000008,10-K,2021,https://www.sec.gov/Archives/edgar/data/732712/000073271222000008/0000732712-22-000008.txt
97745,TMO,0000097745-21-000011,10-K,2020,https://www.sec.gov/Archives/edgar/data/97745/000009774521000011/0000097745-21-000011.txt
1800,ABT,0001104659-21-025751,10-K,2020,https://www.sec.gov/Archives/edgar/data/1800/000110465921025751/0001104659-21-025751.txt
1166691,CMCSA,0001166691-22-000009,10-K,2021,https://www.sec.gov/Archives/edgar/data/1166691/000116669122000009/0001166691-22-000009.txt
1341439,ORCL,0001564590-21-033616,10-K,2021,https://www.sec.gov/Archives/edgar/data/1341439/000156459021033616/0001564590-21-033616.txt
1467373,ACN,0001467373-21-000229,10-K,2021,https://www.sec.gov/Archives/edgar/data/1467373/000146737321000229/0001467373-21-000229.txt
1108524,CRM,0001108524-21-000014,10-K,2020,https://www.sec.gov/Archives/edgar/data/1108524/000110852421000014/0001108524-21-000014.txt
313616,DHR,0000313616-21-000045,10-K,2020,https://www.sec.gov/Archives/edgar/data/313616/000031361621000045/0000313616-21-000045.txt
50863,INTC,0000050863-22-000007,10-K,2021,https://www.sec.gov/Archives/edgar/data/50863/000005086322000007/0000050863-22-000007.txt
310158,MRK,0000310158-21-000004,10-K,2020,https://www.sec.gov/Archives/edgar/data/310158/000031015821000004/0000310158-21-000004.txt
63908,MCD,0000063908-21-000013,10-K,2020,https://www.sec.gov/Archives/edgar/data/63908/000006390821000013/0000063908-21-000013.txt
1090727,UPS,0001090727-21-000013,10-K,2020,https://www.sec.gov/Archives/edgar/data/1090727/000109072721000013/0001090727-21-000013.txt
804328,QCOM,0001728949-21-000076,10-K,2021,https://www.sec.gov/Archives/edgar/data/804328/000172894921000076/0001728949-21-000076.txt
895421,MS,0000895421-21-000286,10-K,2020,https://www.sec.gov/Archives/edgar/data/895421/000089542121000286/0000895421-21-000286.txt
1065280,NFLX,0001065280-22-000036,10-K,2021,https://www.sec.gov/Archives/edgar/data/1065280/000106528022000036/0001065280-22-000036.txt
732717,T,0000732717-22-000015,10-K,2021,https://www.sec.gov/Archives/edgar/data/732717/000073271722000015/0000732717-22-000015.txt
1413329,PM,0001413329-22-000011,10-K,2021,https://www.sec.gov/Archives/edgar/data/1413329/000141332922000011/0001413329-22-000011.txt
316709,SCHW,0000316709-21-000012,10-K,2020,https://www.sec.gov/Archives/edgar/data/316709/000031670921000012/0000316709-21-000012.txt
1283699,TMUS,0001283699-22-000018,10-K,2021,https://www.sec.gov/Archives/edgar/data/1283699/000128369922000018/0001283699-22-000018.txt
100885,UNP,0001437749-22-002494,10-K,2021,https://www.sec.gov/Archives/edgar/data/100885/000143774922002494/0001437749-22-002494.txt
60667,LOW,0000060667-21-000026,10-K,2020,https://www.sec.gov/Archives/edgar/data/60667/000006066721000026/0000060667-21-000026.txt
1707925,LIN,0001628280-21-003574,10-K,2020,https://www.sec.gov/Archives/edgar/data/1707925/000162828021003574/0001628280-21-003574.txt
97476,TXN,0000097476-22-000009,10-K,2021,https://www.sec.gov/Archives/edgar/data/97476/000009747622000009/0000097476-22-000009.txt
896878,INTU,0000896878-21-000233,10-K,2021,https://www.sec.gov/Archives/edgar/data/896878/000089687821000233/0000896878-21-000233.txt
4962,AXP,0000004962-22-000008,10-K,2021,https://www.sec.gov/Archives/edgar/data/4962/000000496222000008/0000004962-22-000008.txt
14272,BMY,0000014272-22-000051,10-K,2021,https://www.sec.gov/Archives/edgar/data/14272/000001427222000051/0000014272-22-000051.txt
753308,NEE,0000753308-21-000014,10-K,2020,https://www.sec.gov/Archives/edgar/data/753308/000075330821000014/0000753308-21-000014.txt
101829,RTX,0000101829-22-000005,10-K,2021,https://www.sec.gov/Archives/edgar/data/101829/000010182922000005/0000101829-22-000005.txt
2488,AMD,0000002488-22-000016,10-K,2021,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/0000002488-22-000016.txt
1613103,MDT,0001613103-21-000027,10-K,2021,https://www.sec.gov/Archives/edgar/data/1613103/000161310321000027/0001613103-21-000027.txt
64803,CVS,0000064803-22-000008,10-K,2021,https://www.sec.gov/Archives/edgar/data/64803/000006480322000008/0000064803-22-000008.txt
1633917,PYPL,0001633917-22-000027,10-K,2021,https://www.sec.gov/Archives/edgar/data/1633917/000163391722000027/0001633917-22-000027.txt
831001,C,0000831001-21-000042,10-K,2020,https://www.sec.gov/Archives/edgar/data/831001/000083100121000042/0000831001-21-000042.txt
773840,HON,0000773840-22-000018,10-K,2020,https://www.sec.gov/Archives/edgar/data/773840/000077384022000018/0000773840-22-000018.txt
318154,AMGN,0000318154-22-000010,10-K,2021,https://www.sec.gov/Archives/edgar/data/318154/000031815422000010/0000318154-22-000010.txt
12927,BA,0000012927-22-000010,10-K,2021,https://www.sec.gov/Archives/edgar/data/12927/000001292722000010/0000012927-22-000010.txt
