cik,name,ticker,exchange,cik_full
1046179,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,TSM,NYSE,0001046179
884394,SPDR S&P 500 ETF TRUST,SPY,NYSE,0000884394
1577552,Alibaba Group Holding Ltd,BABA,NYSE,0001577552
1094517,TOYOTA MOTOR CORP/,TM,NYSE,0001094517
937966,ASML HOLDING NV,ASML,Nasdaq,0000937966
353278,NOVO NORDISK A S,NVO,NYSE,0000353278
1114448,NOVARTIS AG,NVS,NYSE,0001114448
901832,ASTRAZENECA PLC,AZN,Nasdaq,0000901832
811809,BHP Group Ltd,BHP,NYSE,0000811809
1000275,ROYAL BANK OF CANADA,RY,NYSE,0001000275
1108329,PETROCHINA CO LTD,PTR,NYSE,0001108329
1089113,HSBC HOLDINGS PLC,HSBC,NYSE,0001089113
879764,TotalEnergies SE,TTE,NYSE,0000879764
947263,TORONTO DOMINION BANK,TD,NYSE,0000947263
1000184,SAP SE,SAP,NYSE,0001000184
1067839,"INVESCO QQQ TRUST, SERIES 1",QQQ,Nasdaq,0001067839
313838,Sony Group Corp,SONY,NYSE,0000313838
217410,UNILEVER PLC,UL,NYSE,0000217410
1121404,Sanofi,SNY,Nasdaq,0001121404
863064,RIO TINTO PLC,RIO,NYSE,0000863064
1549802,"JD.com, Inc.",JD,Nasdaq,0001549802
1144967,HDFC BANK LTD,HDB,NYSE,0001144967
1268896,CHINA LIFE INSURANCE CO LTD,LFC,NYSE,0001268896
835403,DIAGEO PLC,DEO,NYSE,0000835403
1668717,Anheuser-Busch InBev SA/NV,BUD,NYSE,0001668717
1131399,GLAXOSMITHKLINE PLC,GSK,NYSE,0001131399
1559720,"Airbnb, Inc.",ABNB,Nasdaq,0001559720
1303523,British American Tobacco p.l.c.,BTI,NYSE,0001303523
313807,BP PLC,BP,NYSE,0000313807
1594805,SHOPIFY INC.,SHOP,NYSE,0001594805
1140625,EQUINOR ASA,EQNR,NYSE,0001140625
1067491,Infosys Ltd,INFY,NYSE,0001067491
1119639,PETROBRAS - PETROLEO BRASILEIRO SA,PBR,NYSE,0001119639
1640147,Snowflake Inc.,SNOW,NYSE,0001640147
1001085,BROOKFIELD ASSET MANAGEMENT INC.,BAM,NYSE,0001001085
9631,BANK OF NOVA SCOTIA,BNS,NYSE,0000009631
67088,MITSUBISHI UFJ FINANCIAL GROUP INC,MUFG,NYSE,0000067088
16868,CANADIAN NATIONAL RAILWAY CO,CNI,NYSE,0000016868
1393818,Blackstone Inc,BX,NYSE,0001393818
917851,Vale S.A.,VALE,NYSE,0000917851
1123658,CHINA PETROLEUM & CHEMICAL CORP,SNP,NYSE,0001123658
895728,ENBRIDGE INC,ENB,NYSE,0000895728
1650372,Atlassian Corp Plc,TEAM,Nasdaq,0001650372
30554,DUPONT E I DE NEMOURS & CO,CTA-PA,NYSE,0000030554
927971,BANK OF MONTREAL /CAN/,BMO,NYSE,0000927971
1737806,Pinduoduo Inc.,PDD,Nasdaq,0001737806
1703399,Sea Ltd,SE,NYSE,0001703399
1610520,UBS Group AG,UBS,NYSE,0001610520
1103838,ICICI BANK LTD,IBN,NYSE,0001103838
1091587,ABB LTD,ABB,NYSE,0001091587
1110646,"NetEase, Inc.",NTES,Nasdaq,0001110646
1543151,"Uber Technologies, Inc",UBER,NYSE,0001543151
16875,CANADIAN PACIFIC RAILWAY LTD/CN,CP,NYSE,0000016875
891478,"Banco Santander, S.A.",SAN,NYSE,0000891478
1564408,Snap Inc,SNAP,NYSE,0001564408
1017413,CANADIAN NATURAL RESOURCES LTD,CNQ,NYSE,0001017413
1129137,AMERICA MOVIL SAB DE CV/,AMX,NYSE,0001129137
929869,RELX PLC,RELX,NYSE,0000929869
1327811,"Workday, Inc.",WDAY,Nasdaq,0001327811
1605484,Stellantis N.V.,STLA,NYSE,0001605484
1045520,CANADIAN IMPERIAL BANK OF COMMERCE /CAN/,CM,NYSE,0001045520
1835632,"Marvell Technology, Inc.",MRVL,Nasdaq,0001835632
1329099,"Baidu, Inc.",BIDU,Nasdaq,0001329099
1099590,MERCADOLIBRE INC,MELI,Nasdaq,0001099590
1874178,"Rivian Automotive, Inc. / DE",RIVN,Nasdaq,0001874178
1648416,Ferrari N.V.,RACE,NYSE,0001648416
1039765,ING GROEP NV,ING,NYSE,0001039765
1002242,ENI SPA,E,NYSE,0001002242
1418135,Keurig Dr Pepper Inc.,KDP,Nasdaq,0001418135
1004315,NATIONAL GRID PLC,NGG,NYSE,0001004315
1061219,ENTERPRISE PRODUCTS PARTNERS L.P.,EPD,NYSE,0001061219
715153,HONDA MOTOR CO LTD,HMC,NYSE,0000715153
1124610,"VMWARE, INC.",VMW,NYSE,0001124610
1512673,"Block, Inc.",SQ,NYSE,0001512673
1327567,Palo Alto Networks Inc,PANW,Nasdaq,0001327567
1022837,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",SMFG,NYSE,0001022837
1232384,TC ENERGY CORP,TRP,NYSE,0001232384
1561550,"Datadog, Inc.",DDOG,Nasdaq,0001561550
1001838,SOUTHERN COPPER CORP/,SCCO,NYSE,0001001838
1679788,"Coinbase Global, Inc.",COIN,Nasdaq,0001679788
