ticker,beta,trailingPE,priceToSalesTrailing12Months,priceToBook,trailingPegRatio,debtToEquity,returnOnEquity
MSFT,0.910925,31.517735,12.171159,13.870168,2.4159,50.217,0.49051
TSLA,2.006464,171.24872,16.116058,28.71822,2.3927,28.192,0.20426
AAPL,1.187468,27.63591,7.170523,43.27779,3.2017,216.392,1.47443
GOOGL,1.069617,23.868643,6.874814,7.046526,0.944,11.329,0.32069
AMZN,1.126233,57.887043,3.2756402,10.890865,,100.864,0.28806
NVDA,1.411417,61.594807,21.957079,22.312757,,43.916,0.44832
FB,1.387303,14.740014,4.6847863,4.581819,,11.574,0.31102
BRK-B,0.901298,0.005824463,2.7315261,0.0009568441,,23.159,0.18795
UNH,0.87817,26.913164,1.5919222,6.522217,,62.929,0.21985
JNJ,0.710591,25.180092,4.7298365,6.3115306,,46.946,0.30412
PG,0.449527,28.209064,4.7678695,8.254545,,79.418,0.31092
BAC,1.426653,12.721558,3.7109451,1.4061621,,,0.11778
WMT,0.534062,49.045773,0.6745894,4.703201,,62.382,0.15539
HD,0.990129,21.689066,2.2932427,327.96762,,4373.43,12.4031105
DIS,1.188571,133.06216,3.92472,2.988565,,57.044,0.025390001
KO,0.686233,30.75825,7.1380925,12.16553,,172.826,0.39722002
ABBV,0.79811,35.846043,4.731691,19.622963,,594.66,0.86594003
AVGO,1.031327,38.57333,8.702692,9.572971,,161.163,0.27556
PEP,0.650909,27.814312,2.943953,14.217172,,258.017,0.55412996
LLY,0.362392,39.487022,8.913053,30.24322,,215.45,0.92237
CSCO,0.982098,20.843866,4.6561537,5.5372305,,25.032,0.28190002
NKE,0.961213,35.16273,4.5793285,14.205281,,85.252,0.48263
VZ,0.411948,10.274436,1.7092743,2.9372885,,228.038,0.31167
TMO,0.801093,25.728275,5.5702953,5.642375,,85.097,0.20476
ABT,0.685714,30.017368,5.056019,6.2144256,,53.112,0.21862
ACN,1.213823,33.17903,3.754232,9.90528,,16.607,0.31948
ORCL,0.807792,22.085804,5.04753,,,,
CRM,1.070611,112.623764,8.072639,3.5312684,,25.131,0.035720002
DHR,0.701976,35.08881,7.0418878,4.917762,,56.662,0.14245
MRK,0.494545,27.223005,3.704379,5.443065,,73.728,0.26036
UPS,1.118441,28.882391,1.9555972,15.331264,,212.383,0.73033994
QCOM,1.272207,21.010166,5.51725,18.696293,,163.809,1.12847
NFLX,0.84987,33.18637,5.694043,10.645861,,117.578,0.39387
PM,0.891948,17.85366,5.1892643,,,,
SCHW,0.989557,30.723257,8.239218,3.2105494,,55.331,0.10317001
TMUS,0.551466,46.586464,1.9319289,2.2619743,,157.473,0.04498
UNP,1.173048,27.365828,7.532064,11.828495,,222.357,0.41923
TXN,0.932467,21.956856,8.979016,12.994908,,63.69,0.71489
AXP,1.243284,18.791393,3.3844612,5.7297106,,150.569,0.33606
BMY,0.586275,,3.307089,4.1222787,,126.634,0.18985
AMD,1.950273,34.540405,8.228561,19.018343,,9.764,0.47428
RTX,1.012467,45.377274,2.343421,2.0970488,,44.935,0.05017
MDT,0.810389,31.040947,4.551918,2.7846038,,49.125,0.09233
PYPL,1.164675,24.366434,4.846246,5.385842,,43.902,0.24299999
AMGN,0.639128,23.981031,5.0855045,15.996699,,457.332,0.585
GS,1.489308,5.499258,1.8856869,1.2113087,,529.242,0.20768999
BA,1.46892,,1.7818925,,,,
BLK,1.202077,19.616297,5.978379,3.0454187,,21.949,0.16974
NOW,1.018701,515.4079,20.225939,31.66338,,63.016,0.071040004
EL,1.004675,35.42677,6.1705203,17.329933,,114.934,0.53243
CHTR,0.944247,25.60361,1.9714502,5.914829,,417.43,0.17694001
ANTM,1.045194,21.100412,0.8502811,3.1871865,,66.276,0.15835
PLD,0.806753,56.57337,22.543251,3.4087646,,47.759,0.05886
AMT,0.344935,42.716545,11.858448,19.798014,,434.983,0.34478
LMT,0.92,20.628311,1.8614628,12.740255,,121.213,0.8289
BKNG,1.220779,227.24974,9.366269,15.566779,,208.007,0.07305
MU,1.144935,13.802817,3.3727257,2.1737435,,16.435,0.17163
ISRG,1.087792,64.64424,19.514765,9.385507,,,0.16475001
TGT,1.009448,16.474571,1.037728,7.7987595,,112.287,0.50011003
SYK,0.990129,53.63728,6.0305448,7.0899854,,92.093,0.13989
ZTS,0.64987,47.20896,12.167961,19.816875,,144.328,0.47756
MO,0.704004,35.589024,4.633432,,,,2.7119799
MDLZ,0.722597,20.665394,3.1927893,3.2688725,,73.834,0.16312
SPGI,0.984935,34.52884,11.951523,52.311913,,95.785,0.74772
MMM,0.950649,14.667194,2.4191337,5.9100146,,130.812,0.44799998
CB,0.787667,10.472801,2.1978216,1.4963535,,32.666,0.15235
CME,0.462747,35.519173,18.693405,3.165186,,14.81,0.08975001
TJX,0.945454,30.323027,1.7174883,12.177539,,198.942,0.44426
LRCX,1.174025,18.369272,4.857682,13.149859,,85.83,0.7589
DUK,0.31948,26.250639,3.2602024,1.6671268,,128.981,0.05598
GILD,0.350129,10.559548,2.8166723,3.6070843,,128.946,0.37846002
MMC,0.927272,29.459356,4.1197357,8.092642,,131.3,0.29463
CSX,1.216421,22.208937,6.566486,5.9460826,,128.113,0.27854002
CI,0.88165,9.8976145,0.46254858,1.6621352,,73.536,0.17627001
HCA,1.651428,13.521219,1.4167447,,,1866.301,4.74392
CCI,0.539532,61.24695,11.987158,8.924076,,327.065,0.13071
SHW,1.067012,35.35279,3.439379,25.091404,,401.78,0.57046
GM,1.195425,6.009101,0.51327926,1.2437674,,168.039,0.17222
SO,0.481038,23.705818,3.132739,2.4529,,162.916,0.08851
F,1.079562,24.684433,0.51586705,1.922027,,286.876,0.45095003
ITW,1.116066,25.040121,4.742464,19.354607,,216.175,0.8811
FIS,0.745974,257.41666,4.173522,1.1980917,,41.824,0.00489
EW,1.093258,48.16344,13.723217,12.614623,,12.345,0.30299
REGN,0.176103,9.774334,4.9209285,3.7374177,,15.637,0.51093
CL,0.620881,24.649681,3.7617645,110.413704,,750.243,2.7066698
FISV,0.825974,51.103626,4.1211743,2.0602427,,64.415,0.0417
EOG,2.010389,22.419512,4.0642333,3.125571,,24.659,0.14394
D,0.441459,25.455692,4.8052754,2.6666667,,152.622,0.09639
ATVI,0.673246,24.176802,7.0127544,3.744544,,21.28,0.16877002
NOC,0.812467,15.862081,1.8999282,6.25325,,123.912,0.42268002
EQIX,0.358441,151.97554,9.919979,6.141067,,142.514,0.04048
FDX,1.286753,12.172598,0.65481824,2.35126,,147.67,0.21384001
BSX,0.867532,57.16515,5.461426,3.8047428,,57.478,0.07219
MCO,1.17974,29.107687,10.118765,24.854652,,307.865,0.97449
WM,0.82961,37.089806,3.690697,8.912283,,181.865,0.24409
GD,1.078441,20.436834,1.7199901,4.2220883,,97.405,0.2173
MET,1.25974,11.108144,0.7951768,0.81408,,157.915,0.07728
VRTX,0.595324,28.26697,8.404983,6.3359227,,9.2,0.24639
MRNA,1.335722,8.478313,4.8497477,5.6612535,,5.758,1.09609
EMR,1.514285,24.403143,3.0451338,5.619725,,72.891,0.25335
SLB,2.054201,33.09278,2.3563743,4.04367,,98.188,0.13883
PXD,1.838961,37.910828,4.0611672,2.505947,,31.32,0.080240004
MAR,1.74961,115.87535,18.902409,58.69812,,1163.943,0.8143
APD,0.804675,24.571854,4.979139,3.791288,,58.574,0.15413
HUM,0.923116,21.259447,0.6817692,3.4466379,,76.778,0.1668
FTNT,1.153246,101.249245,17.588827,49.15242,,94.32,0.59995997
ECL,1.010643,43.753513,3.9438744,7.0725355,,90.913,0.17579001
ADSK,1.400519,35.425102,10.962109,36.13214,,238.261,1.9555299
NXPI,1.392727,33.070724,4.6641173,7.300972,,137.593,0.20143
AIG,1.37922,9.473106,1.0593542,0.7842806,,48.051,0.08906
MPC,1.949776,5.4309983,0.39541426,1.7017113,,79.974,0.07715
ROP,1.063896,42.698112,7.5643544,4.184236,,73.434,0.10528
